,Player,Share,Predicted_Share,Predicted_Rank,Rank
6368,Nikola Jokić,0.935,0.1704862449691962,4,1
7429,Shai Gilgeous-Alexander,0.646,0.16218779117163523,5,2
5394,Luka Dončić,0.572,0.20364042496594392,1,3
2946,Giannis Antetokounmpo,0.194,0.2008299751133439,3,4
3467,Jalen Brunson,0.143,0.0953878300863095,16,5
